2024-10-15 13:52:05,020 - qm - INFO     - Starting session: 62c0eadc-25cb-44be-90bb-48d9d539de3d
2024-10-15 13:52:07,706 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-10-15 13:52:08,439 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-10-15 13:52:09,182 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-10-15 13:52:09,917 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-10-15 13:52:10,926 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-10-15 13:52:10,926 - qm - INFO     - Performing health check
2024-10-15 13:52:10,947 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 13:52:10,947 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 13:52:10,947 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 13:52:10,947 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 13:52:10,947 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 13:52:10,947 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 13:52:10,947 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 13:52:10,947 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 13:52:10,947 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 13:52:10,947 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.18s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.14s
2024-10-15 13:52:13,189 - qm - INFO     - Sending program to QOP for compilation
2024-10-15 13:52:13,364 - qm - INFO     - Executing program
2024-10-15 13:52:26,088 - qm - INFO     - Sending program to QOP for compilation
2024-10-15 13:52:26,339 - qm - INFO     - Executing program
